origin_lat,origin_lon,dest_lat,dest_lon,migrants
46.603354,1.8883335,39.7837304,-100.445882,806
46.7985624,8.2319736,39.7837304,-100.445882,54
47.0229142,28.8299748,39.7837304,-100.445882,7381
47.1817585,19.5060937,39.7837304,-100.445882,2176
47.59397,14.12456,39.7837304,-100.445882,60
48.1012954,66.7780818,39.7837304,-100.445882,11183
48.7411522,19.4528646,39.7837304,-100.445882,292
49.7439047,15.3381061,39.7837304,-100.445882,1219
50.6402809,4.6667145,39.7837304,-100.445882,211
51.1638175,10.4478313,39.7837304,-100.445882,1334
52.215933,19.134422,39.7837304,-100.445882,10126
52.2434979,5.6343227,39.7837304,-100.445882,356
53.4250605,27.6971358,39.7837304,-100.445882,14454
54.7023545,-3.2765753,39.7837304,-100.445882,815
55.3500003,23.7499997,39.7837304,-100.445882,1057
55.670249,10.3333283,39.7837304,-100.445882,26
56.8406494,24.7537645,39.7837304,-100.445882,776
58.7523778,25.3319078,39.7837304,-100.445882,965
59.6749712,14.5208584,39.7837304,-100.445882,190
63.2467777,25.9209164,39.7837304,-100.445882,53
64.5731537,11.52803643954819,39.7837304,-100.445882,5
64.9841821,-18.1059013,39.7837304,-100.445882,5
