origin_lat,origin_lon,dest_lat,dest_lon,migrants
22.350627,114.1849161,46.7985624,8.2319736,5
22.3511148,78.6677428,46.7985624,8.2319736,7257
23.0131338,-80.8328748,46.7985624,8.2319736,349
23.6585116,-102.0077097,46.7985624,8.2319736,35
24.4769288,90.2934413,46.7985624,8.2319736,5778
25.6242618,42.3528328,46.7985624,8.2319736,49
26.030093,50.55333678912324,46.7985624,8.2319736,10
26.2540493,29.2675469,46.7985624,8.2319736,1459
26.8234472,18.1236723,46.7985624,8.2319736,3467
27.549511,90.5119273,46.7985624,8.2319736,154
28.0000272,2.9999825,46.7985624,8.2319736,19727
28.3347722,-10.371337908392649,46.7985624,8.2319736,9680
28.3780464,83.9999901,46.7985624,8.2319736,698
29.3796532,47.9734174,46.7985624,8.2319736,60
30.3308401,71.247499,46.7985624,8.2319736,12895
30.8124247,34.8594762,46.7985624,8.2319736,304
32.6475314,54.5643516,46.7985624,8.2319736,12875
33.0955793,44.1749775,46.7985624,8.2319736,24817
33.7680065,66.2385139,46.7985624,8.2319736,45429
34.0678644,-102.524362,46.7985624,8.2319736,3005
34.9174159,32.889902651331866,46.7985624,8.2319736,14
35.0000663,104.999955,46.7985624,8.2319736,8109
36.8002068,10.1857757,46.7985624,8.2319736,11782
38.23368665,127.00873073371444,46.7985624,8.2319736,36
38.6281733,70.8156541,46.7985624,8.2319736,176
38.9953683,21.9877132,46.7985624,8.2319736,68
39.294076,35.2316631,46.7985624,8.2319736,96048
39.3260685,-4.8379791,46.7985624,8.2319736,110
39.6621648,-8.1353519,46.7985624,8.2319736,124
39.7837304,-100.445882,46.7985624,8.2319736,159
40.375713,-76.4626118,46.7985624,8.2319736,13529
40.3936294,47.7872508,46.7985624,8.2319736,1499
41.32373,63.9528098,46.7985624,8.2319736,346
41.5089324,74.724091,46.7985624,8.2319736,176
41.6171214,21.7168387,46.7985624,8.2319736,6697
42.2089038065726,-79.46849684080372,46.7985624,8.2319736,393
42.6073975,25.4856617,46.7985624,8.2319736,4814
42.6384261,12.674297,46.7985624,8.2319736,223
44.02432285,21.07657433209902,46.7985624,8.2319736,136049
44.3053476,17.5961467,46.7985624,8.2319736,28325
44.6663146,-93.6261918,46.7985624,8.2319736,318
45.3658443,15.6575209,46.7985624,8.2319736,659
46.1199444,14.8153333,46.7985624,8.2319736,48
46.603354,1.8883335,46.7985624,8.2319736,148
46.7985624,8.2319736,46.7985624,8.2319736,16
47.0229142,28.8299748,46.7985624,8.2319736,1334
47.1817585,19.5060937,46.7985624,8.2319736,4051
47.59397,14.12456,46.7985624,8.2319736,10
48.1012954,66.7780818,46.7985624,8.2319736,419
48.7411522,19.4528646,46.7985624,8.2319736,498
49.7439047,15.3381061,46.7985624,8.2319736,5454
50.6402809,4.6667145,46.7985624,8.2319736,30
51.1638175,10.4478313,46.7985624,8.2319736,179
52.215933,19.134422,46.7985624,8.2319736,5279
52.2434979,5.6343227,46.7985624,8.2319736,10
53.4250605,27.6971358,46.7985624,8.2319736,2404
54.7023545,-3.2765753,46.7985624,8.2319736,53
55.3500003,23.7499997,46.7985624,8.2319736,803
56.8406494,24.7537645,46.7985624,8.2319736,132
58.7523778,25.3319078,46.7985624,8.2319736,46
